Study,Trait_reported,Lead_variant,Molecular_trait,Gene_symbol,Tissue,Source,H3,H4,log2(H4/H3),Title,Author,Has_sumstats,numAssocLoci,nInitial cohort,study_nReplication,study_nCases,Publication_date,Journal,Pubmed_id,max_H4,min_H4
GCST004132,Crohn's disease,5_142146492_C_A,NDFIP1,ENSG00000131507,CD8+ T cell,CEDAR,0.07,0.93,3.74,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.98,0.1
GCST004132,Crohn's disease,5_142146492_C_A,NDFIP1,ENSG00000131507,Treg,Schmiedel_2018,0.07,0.93,3.74,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.98,0.1
GCST004131,Inflammatory bowel disease,5_142216955_C_T,NDFIP1,ENSG00000131507,LCL,GEUVADIS,0.07,0.93,3.74,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.1
GCST003043,Inflammatory bowel disease [EA],10_58212538_C_A,CISD1,ENSG00000122873,Brain anterior cingulate cortex ba24,GTEx-sQTL,0.06,0.76,3.74,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0.67
GCST004132,Crohn's disease,5_142146492_C_A,NDFIP1,ENSG00000131507,Monocyte CD16+,Schmiedel_2018,0.07,0.93,3.73,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.98,0.1
GCST003044,Crohn's disease [EA],10_58212538_C_A,CISD1,ENSG00000122873,Brain anterior cingulate cortex ba24,GTEx-sQTL,0.06,0.76,3.73,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.98,0.67
GCST004131,Inflammatory bowel disease,1_150706557_G_A,HORMAD1,ENSG00000143452,Macrophage Salmonella 5h,Alasoo_2018,0.07,0.89,3.73,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.16
GCST004131,Inflammatory bowel disease,5_96912106_T_C,ERAP2,ENSG00000164308,Uterus,GTEx-sQTL,0.07,0.93,3.73,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0
GCST003043,Inflammatory bowel disease [EA],1_155212052_G_T,EFNA1,ENSG00000169242,brain (cerebellum),GTEx-eQTL,0.07,0.92,3.73,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0.04
GCST003043,Inflammatory bowel disease [EA],10_58212538_C_A,CISD1,ENSG00000122873,Breast mammary tissue,GTEx-sQTL,0.07,0.91,3.72,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0.67
GCST003044,Crohn's disease [EA],10_58212538_C_A,CISD1,ENSG00000122873,Breast mammary tissue,GTEx-sQTL,0.07,0.91,3.72,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.98,0.67
GCST003044,Crohn's disease [EA],7_28150502_C_T,JAZF1,ENSG00000153814,muscle,GTEx-eQTL,0.07,0.93,3.72,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.98,0.28
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,CD4+ T cell,Schmiedel_2018,0.07,0.93,3.72,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST003044,Crohn's disease [EA],2_233252937_T_C,ATG16L1,ENSG00000085978,CD4+ T cell,CEDAR,0.07,0.91,3.7,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.98,0.2
GCST004131,Inflammatory bowel disease,1_155199058_C_T,EFNA1,ENSG00000169242,brain (cerebellum),GTEx-eQTL,0.07,0.92,3.7,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.04
GCST004131,Inflammatory bowel disease,5_142216955_C_T,NDFIP1,ENSG00000131507,CD8+ T cell,CEDAR,0.07,0.93,3.68,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.1
GCST004131,Inflammatory bowel disease,5_142216955_C_T,NDFIP1,ENSG00000131507,Th17 cell,Schmiedel_2018,0.07,0.92,3.68,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.1
GCST004131,Inflammatory bowel disease,1_209797265_G_A,IRF6,ENSG00000117595,Brain cerebellum,GTEx-sQTL,0.07,0.93,3.67,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0
GCST004131,Inflammatory bowel disease,1_150706557_G_A,HORMAD1,ENSG00000143452,Monocyte,BLUEPRINT,0.07,0.93,3.66,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.16
GCST004131,Inflammatory bowel disease,7_99171402_G_T,SMURF1,ENSG00000198742,LCL,GEUVADIS,0.07,0.93,3.65,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.12
GCST003044,Crohn's disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Skin not sun exposed suprapubic,GTEx-sQTL,0.07,0.93,3.65,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST003043,Inflammatory bowel disease [EA],10_58212538_C_A,CISD1,ENSG00000122873,brain (cerebellum),GTEx-eQTL,0.07,0.87,3.63,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0.67
GCST003044,Crohn's disease [EA],10_58212538_C_A,CISD1,ENSG00000122873,brain (cerebellum),GTEx-eQTL,0.07,0.87,3.63,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.98,0.67
GCST003044,Crohn's disease [EA],10_58212538_C_A,CISD1,ENSG00000122873,Monocyte,BLUEPRINT,0.07,0.93,3.63,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.98,0.67
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,CD8+ T cell,Schmiedel_2018,0.07,0.93,3.63,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST004132,Crohn's disease,5_96912106_T_C,ERAP2,ENSG00000164308,Uterus,GTEx-sQTL,0.08,0.92,3.61,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.98,0
GCST004131,Inflammatory bowel disease,5_142216955_C_T,NDFIP1,ENSG00000131507,Treg,Schmiedel_2018,0.08,0.92,3.6,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.1
GCST003043,Inflammatory bowel disease [EA],2_233264200_A_G,ATG16L1,ENSG00000085978,Skin not sun exposed suprapubic,GTEx-sQTL,0.08,0.92,3.6,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0.2
GCST000964,Ulcerative colitis,3_49707457_A_G,RBM6,ENSG00000004534,Skin not sun exposed suprapubic,GTEx-sQTL,0.07,0.91,3.6,"Meta-analysis identifies 29 additional ulcerative colitis risk loci, increasing the number of confirmed associations to 47.",Anderson CA,TRUE,164,26405,22545,6687,2011-02-06,Nat Genet,PMID:21297633,0.98,0.1
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Esophagus gastroesophageal junction,GTEx-sQTL,0.08,0.92,3.6,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST004131,Inflammatory bowel disease,1_155199058_C_T,EFNA1,ENSG00000169242,Brain substantia nigra,GTEx-sQTL,0.08,0.92,3.6,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.04
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Nerve tibial,GTEx-sQTL,0.08,0.92,3.59,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Spleen,GTEx-sQTL,0.08,0.92,3.58,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Treg memory,Schmiedel_2018,0.08,0.92,3.57,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST003044,Crohn's disease [EA],10_58212538_C_A,CISD1,ENSG00000122873,B cell,Schmiedel_2018,0.06,0.67,3.56,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.98,0.67
GCST003043,Inflammatory bowel disease [EA],10_58212538_C_A,CISD1,ENSG00000122873,B cell,Schmiedel_2018,0.06,0.67,3.55,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0.67
GCST004131,Inflammatory bowel disease,5_142216955_C_T,NDFIP1,ENSG00000131507,Monocyte Influenza 6h,Quach_2016,0.08,0.92,3.54,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.1
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Esophagus muscularis,GTEx-sQTL,0.08,0.92,3.54,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST003043,Inflammatory bowel disease [EA],10_58212538_C_A,CISD1,ENSG00000122873,Skin sun exposed lower leg,GTEx-sQTL,0.08,0.92,3.52,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0.67
GCST004131,Inflammatory bowel disease,2_233271044_C_T,ATG16L1,ENSG00000085978,artery (tibial),GTEx-eQTL,0.08,0.92,3.52,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.2
GCST004132,Crohn's disease,2_233277353_G_A,ATG16L1,ENSG00000085978,artery (tibial),GTEx-eQTL,0.08,0.92,3.52,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.98,0.2
GCST004131,Inflammatory bowel disease,5_96912106_T_C,ERAP2,ENSG00000164308,microglia,Young_2019,0.08,0.92,3.52,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0
GCST004132,Crohn's disease,5_142146492_C_A,NDFIP1,ENSG00000131507,Monocyte Influenza 6h,Quach_2016,0.08,0.92,3.5,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.98,0.1
GCST004132,Crohn's disease,5_142146492_C_A,NDFIP1,ENSG00000131507,Neutrophil,CEDAR,0.08,0.91,3.49,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.98,0.1
GCST003044,Crohn's disease [EA],10_58212538_C_A,CISD1,ENSG00000122873,Skin sun exposed lower leg,GTEx-sQTL,0.08,0.92,3.49,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.98,0.67
GCST003044,Crohn's disease [EA],7_28150502_C_T,JAZF1,ENSG00000153814,Tfh cell,Schmiedel_2018,0.08,0.92,3.48,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.98,0.28
GCST004132,Crohn's disease,5_142146492_C_A,NDFIP1,ENSG00000131507,blood,Lepik_2017,0.08,0.92,3.46,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.98,0.1
GCST004131,Inflammatory bowel disease,7_6505557_A_G,KDELR2,ENSG00000136240,LCL,TwinsUK,0.08,0.92,3.46,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.35
GCST004132,Crohn's disease,5_96912106_T_C,ERAP2,ENSG00000164308,microglia,Young_2019,0.08,0.92,3.46,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.98,0
GCST004131,Inflammatory bowel disease,2_233271044_C_T,ATG16L1,ENSG00000085978,Neutrophil,BLUEPRINT,0.08,0.9,3.45,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.2
GCST004131,Inflammatory bowel disease,2_233271044_C_T,ATG16L1,ENSG00000085978,Transverse colon,CEDAR,0.08,0.92,3.45,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.2
GCST004131,Inflammatory bowel disease,5_142216955_C_T,NDFIP1,ENSG00000131507,blood,Lepik_2017,0.08,0.92,3.44,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.1
GCST004131,Inflammatory bowel disease,5_142216955_C_T,NDFIP1,ENSG00000131507,Neutrophil,CEDAR,0.08,0.91,3.44,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.1
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Whole blood,GTEx-sQTL,0.08,0.92,3.43,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Skin not sun exposed suprapubic,GTEx-sQTL,0.08,0.92,3.43,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST004132,Crohn's disease,2_233277353_G_A,ATG16L1,ENSG00000085978,adrenal gland,GTEx-eQTL,0.09,0.91,3.42,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.98,0.2
GCST003044,Crohn's disease [EA],10_58212538_C_A,CISD1,ENSG00000122873,Th17 cell,Schmiedel_2018,0.09,0.91,3.41,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.98,0.67
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Small intestine terminal ileum,GTEx-sQTL,0.09,0.91,3.41,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Lung,GTEx-sQTL,0.09,0.91,3.41,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST003043,Inflammatory bowel disease [EA],10_58212538_C_A,CISD1,ENSG00000122873,Th17 cell,Schmiedel_2018,0.09,0.91,3.4,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0.67
GCST004132,Crohn's disease,2_233277353_G_A,ATG16L1,ENSG00000085978,Neutrophil,BLUEPRINT,0.09,0.9,3.4,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.98,0.2
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Prostate,GTEx-sQTL,0.09,0.91,3.4,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Pituitary,GTEx-sQTL,0.09,0.91,3.4,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST004131,Inflammatory bowel disease,1_155199058_C_T,EFNA1,ENSG00000169242,Brain (DLPFC),BrainSeq,0.09,0.9,3.4,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.04
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Breast mammary tissue,GTEx-sQTL,0.09,0.91,3.39,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST003044,Crohn's disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Heart atrial appendage,GTEx-sQTL,0.09,0.89,3.39,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST003043,Inflammatory bowel disease [EA],2_233264200_A_G,ATG16L1,ENSG00000085978,Rectum,CEDAR,0.09,0.91,3.38,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0.2
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Skin sun exposed lower leg,GTEx-sQTL,0.09,0.91,3.38,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,B cell,Schmiedel_2018,0.09,0.91,3.38,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST003044,Crohn's disease [EA],2_233252937_T_C,ATG16L1,ENSG00000085978,Skin not sun exposed suprapubic,GTEx-sQTL,0.09,0.91,3.37,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.98,0.2
GCST004131,Inflammatory bowel disease,2_233271044_C_T,ATG16L1,ENSG00000085978,iPSC,PhLiPS,0.08,0.84,3.36,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.2
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Heart atrial appendage,GTEx-sQTL,0.09,0.89,3.35,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST004132,Crohn's disease,2_233277353_G_A,ATG16L1,ENSG00000085978,iPSC,PhLiPS,0.08,0.83,3.34,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.98,0.2
GCST003044,Crohn's disease [EA],2_233252937_T_C,ATG16L1,ENSG00000085978,Rectum,CEDAR,0.09,0.9,3.33,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.98,0.2
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Esophagus mucosa,GTEx-sQTL,0.09,0.91,3.33,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST004132,Crohn's disease,5_142146492_C_A,NDFIP1,ENSG00000131507,Treg memory,Schmiedel_2018,0.08,0.83,3.31,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,105,40266,NA,12194,2017-01-09,Nat Genet,PMID:28067908,0.98,0.1
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Skin not sun exposed suprapubic,GTEx-sQTL,0.09,0.91,3.31,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST003044,Crohn's disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Whole blood,GTEx-sQTL,0.09,0.91,3.31,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST003044,Crohn's disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Artery aorta,GTEx-sQTL,0.09,0.91,3.31,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,175,20883,48385,5956,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST004131,Inflammatory bowel disease,1_150706557_G_A,HORMAD1,ENSG00000143452,blood,Lepik_2017,0.09,0.91,3.29,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0.16
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Small intestine terminal ileum,GTEx-sQTL,0.09,0.91,3.29,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST003043,Inflammatory bowel disease [EA],5_96917099_G_A,ERAP2,ENSG00000164308,Adipose visceral omentum,GTEx-sQTL,0.09,0.91,3.29,Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.,Liu JZ,TRUE,186,34652,61834,12882,2015-07-20,Nat Genet,PMID:26192919,0.98,0
GCST004131,Inflammatory bowel disease,1_209797265_G_A,IRF6,ENSG00000117595,Macrophage IFNg 18h+Salmonella 5h,Alasoo_2018,0.09,0.89,3.28,Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.,de Lange KM,TRUE,137,59957,NA,25042,2017-01-09,Nat Genet,PMID:28067908,0.98,0
